748
4
2
0 : 0.02702702702702703	1 : 1.0	2 : 1.0	3 : 1.0	4 : 1	
0 : 0.0	1 : 0.24489795918367346	2 : 0.24489795918367346	3 : 0.2708333333333333	4 : 1	
0 : 0.013513513513513514	1 : 0.30612244897959184	2 : 0.30612244897959184	3 : 0.34375	4 : 1	
0 : 0.02702702702702703	1 : 0.3877551020408163	2 : 0.3877551020408163	3 : 0.4479166666666667	4 : 1	
0 : 0.013513513513513514	1 : 0.46938775510204084	2 : 0.46938775510204084	3 : 0.78125	4 : 0	
0 : 0.05405405405405406	1 : 0.061224489795918366	2 : 0.061224489795918366	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.12244897959183673	2 : 0.12244897959183673	3 : 0.125	4 : 1	
0 : 0.013513513513513514	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.34375	4 : 0	
0 : 0.02702702702702703	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.20833333333333334	4 : 1	
0 : 0.06756756756756757	1 : 0.9183673469387755	2 : 0.9183673469387755	3 : 1.0	4 : 1	
0 : 0.05405405405405406	1 : 0.4489795918367347	2 : 0.4489795918367347	3 : 0.5833333333333334	4 : 0	
0 : 0.0	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.020833333333333332	4 : 0	
0 : 0.02702702702702703	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.2708333333333333	4 : 1	
0 : 0.013513513513513514	1 : 0.24489795918367346	2 : 0.24489795918367346	3 : 0.46875	4 : 0	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.13541666666666666	4 : 1	
0 : 0.02702702702702703	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.09375	4 : 1	
0 : 0.02702702702702703	1 : 0.2653061224489796	2 : 0.2653061224489796	3 : 0.4791666666666667	4 : 1	
0 : 0.02702702702702703	1 : 0.2857142857142857	2 : 0.2857142857142857	3 : 0.4895833333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.13541666666666666	4 : 1	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.020833333333333332	4 : 1	
0 : 0.02702702702702703	1 : 0.04081632653061224	2 : 0.04081632653061224	3 : 0.020833333333333332	4 : 1	
0 : 0.05405405405405406	1 : 0.20408163265306123	2 : 0.20408163265306123	3 : 0.2708333333333333	4 : 0	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.14583333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.14583333333333334	4 : 1	
0 : 0.12162162162162163	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.14583333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.2653061224489796	2 : 0.2653061224489796	3 : 0.3958333333333333	4 : 0	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.125	4 : 0	
0 : 0.05405405405405406	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.3333333333333333	4 : 1	
0 : 0.05405405405405406	1 : 0.08163265306122448	2 : 0.08163265306122448	3 : 0.09375	4 : 1	
0 : 0.05405405405405406	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.19791666666666666	4 : 0	
0 : 0.013513513513513514	1 : 0.2653061224489796	2 : 0.2653061224489796	3 : 0.5833333333333334	4 : 0	
0 : 0.05405405405405406	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.2708333333333333	4 : 1	
0 : 0.05405405405405406	1 : 0.1836734693877551	2 : 0.1836734693877551	3 : 0.2708333333333333	4 : 1	
0 : 0.05405405405405406	1 : 0.16326530612244897	2 : 0.16326530612244897	3 : 0.25	4 : 1	
0 : 0.02702702702702703	1 : 0.30612244897959184	2 : 0.30612244897959184	3 : 0.6458333333333334	4 : 0	
0 : 0.02702702702702703	1 : 0.14285714285714285	2 : 0.14285714285714285	3 : 0.2708333333333333	4 : 1	
0 : 0.02702702702702703	1 : 0.22448979591836735	2 : 0.22448979591836735	3 : 0.46875	4 : 1	
0 : 0.05405405405405406	1 : 0.10204081632653061	2 : 0.10204081632653061	3 : 0.14583333333333334	4 : 1	
0 : 0.02702702702702703	1 : 0.2653061224489796	2 : 0.2653061224489796	3 : 0.5729166666666666	4 : 1	
